Abbeinnetta	Cunobeg	Iart	Quette
Abbi	Cunvene	Imlaungorm	Quin
Abhan	Cuyleigh	Imlindylad	Quingurlenna
Abovann	Cyndallyr	Imloth	Quodalle
Acco	Cyne	Imna	Rafni
Adroventhorfie	Daedra	Ingeira	Rafnota
Aescaegnar	Dagor	Inghalisa	Rath
Agan	Dagoros	Irine	Raureeda
Agnus	Daignat	Iseme	Reanha
Agus	Damron	Isristildatchere	Reginulain
Alan	Darborus	Isso	Remmin
Albere	Day-Sepur	Ivan	Reote
Alemen	Deadwan	Jackermiche	Reyrnold
Algoire	Dederv	Jaelfherys	Rhene
Allois	Deormothneid	Jami	Rion
Allond	Derian	Jartio	Riwannel
Alloyd	Dermotheow	Jasalongivana	Roch
Almir	Deva	Jegund	Rochedel
Alyn	Devote	Jehaddogan	Rodwayne
Amath	Diadelia	Jenias	Rond
Amlynnogarvis	Diet	Jennibh	Rotil
Ancenan	Doddus	Jennie	Ruadance
Anco	Dolparch	Joakelchmairex	Rydee
Andor	Dovarus	Jorga	Rydeltiari
Angerin	Doventen	Joysila	Saban
Anityna	Drie	Jugeniehmair	Sabe
Anne	Dualaghaid	Kalie	Sabhan
Arch	Dudoca	Kandore	Sabite
Ardan	Dufa	Kari	Saley
Arfoset	Duin	Kearagilnothiann	Samma
Argar	Duno	Keegaud	Samzey
Argh	Dward	Kendana	Sang
Arlanna	Eacaudaly	Kerry	Saxerchian
Arvin	Eadus	Kharada	Scettamone
Ashlinzee	Eamhal	Kibes	Seanay
Attith	Earg	Kola	Segar
Atwick	Edeberthe	Kristeinhild	Seid
Audeidric	Ederibb	Kwena	Senius
Auguruk	Egilbharavarz	Kyledelgein	Serganwonther
Auis	Ehollach	Lamandabh	Shaleme
Auren	Eirdolynn	Leofan	Shar
Azlanter	Eksis	Leopoprite	Shel
Balredolyndon	Ekwirea	Lian	Sherid
Barn	Eleg	Lilym	Shiantian
Beal	Elerica	Lochan	Shiathettarvedui
Bebbey	Elinas	Lothiora	Siborod
Bela	Ellevon	Luvius	Sidy
Bell	Emabluneglasucalehea	Mach	Sikn
Beran	Endalinburges	Madely	Simiro
Bergalreagaterkoon	Eralden	Maelisamind	Sipiriter
Bersinn	Eren	Maerecenabar	Sirathanu
Bert	Erig	Mallemeich	Siveltan
Blaer	Evenelan	Malonda	Somers
Boin	Evert	Marana	Sose
Borodwa	Evyn	Mark	Spaaro
Bota	Falethian	Marmen	Srost
Bradald	Falla	Meadwar	Stan
Branan	Fanga	Mech	Steemedain
Branore	 Farquilomnitirilla	Meleighan	Stosus
Breagh	Farrethesleef	Meloss	Stun
Bregor	Feasara	Menewly	Sulisile
Brendir	Felian	Mentyvous	Sumero
Bresenedith	Femian	Miha	Tain
Breva	Fermed	Milien	Talwolda
Bria	Fiet	Miluchlapame	Tatiota
Bricolin	Figeche	Mina	Taylinn
Bricus	Fionnabh	Minde	Tefinn
Brig	Fjoldarbodvoc	Modomassas	Tetraut
Brin	Flaikinemhnai	Moin	Thelmedig
Brine	Flane	Moiranda	Thet
Brittanui	Flannich	Mole	Thia
Brond	Ford	Monalduriat	Thiatha
Brondel	Forda	Monderrid	Thilde
Broniana	Fothureanne	More	Think
Brook	Fried	Moria	Tholexie
Bryda	Frith	Morshiorathe	Thonserlaingidus
Bryhrt	Galavrilo	Mothsinse	Thor
Buan	Galeigh	Muir	Thorn
Burg	Galvegiland	Muirgonaiglewely	Thoswynbalasten
Byrnolf	Galvin	Muta	Throdrimhink
Cadace	Gard	Naravey	Thronchirestowna
Cados	Garer	Nard	Tiss
Caeholennen	Gaulte	Ndarn	Trela
Caer	Gawar	Neel	Tremert
Cain	Gaway	Nella	Tric
Cairluin	Geniel	Nesteinn	Trondollon
Calen	Genor	Neth	Tugert
Cales	Geofu	Neve	Tulis
Calle	Gerry	Nevelix	Tura
Cara	Gill	Nimi	Turgand
Carbell	Gille	Ninus	Turphaudofrid
Card	Glare	Nomasine	Uisne
Care	Glaurdo 	Noran	Unalizabryn
Carian	Glive	Nore	Ungur
Carmela	Gobeghann	Oedivoman	Vada
